Time [ms], Yaw [rad], Pitch [rad], Roll [rad], Yaw velocity [rad/s], Pitch velocity [rad/s], Roll velocity [rad/s]
1251.53, 1.92267, 0.0175646, 0.0365432, -0.513526, 0.0283085, 0.0865461
1271.64, 1.90731, 0.0248792, 0.00704232, -0.496552, 0.126152, -0.438533
1291.81, 1.90222, 0.0245601, 0.00964158, -0.500131, 0.0813461, -0.240542
1312.02, 1.89334, 0.0257886, 0.00712325, -0.472677, 0.0716527, -0.184767
1332.23, 1.88467, 0.0204497, 0.0352884, -0.451156, -0.105367, 0.660564
1352.38, 1.86991, 0.0236691, 0.0274743, -0.476766, 0.0237579, 0.0964891
1372.52, 1.86062, 0.0240162, 0.0300659, -0.478952, 0.0307794, 0.0615252
1392.71, 1.85142, 0.0243278, 0.0355966, -0.473022, 0.0258276, 0.141004
1412.94, 1.84272, 0.0268691, 0.0329103, -0.585416, 0.0905445, 0.0248859
1433.13, 1.83126, 0.0275966, 0.0342824, -0.47855, 0.0489457, 0.0120339
1453.36, 1.82201, 0.0290428, 0.0344779, -0.469348, 0.0582164, 0.0120615
1473.48, 1.8124, 0.0312605, 0.0351456, -0.474851, 0.0830108, 0.0200742
1493.71, 1.80299, 0.0340109, 0.0289887, -0.472809, 0.109536, -0.139487
1513.9, 1.7892, 0.0341474, 0.0226183, -0.578123, 0.0595574, -0.226599
1534.12, 1.77873, 0.0342799, 0.0230438, -0.551551, 0.0329025, -0.110376
1554.42, 1.76823, 0.0324655, 0.0243799, -0.540746, -0.0356979, -0.0172623
1574.58, 1.75887, 0.0289907, 0.0252376, -0.50283, -0.112099, 0.0134097
1594.74, 1.74894, 0.0305713, 0.0253349, -0.499906, -0.0124652, 0.0105024
1614.89, 1.73766, 0.0282524, 0.0285304, -0.536364, -0.0758225, 0.103233
1635.08, 1.72547, 0.030572, 0.0240315, -0.579808, 0.00900003, -0.0378945
1655.24, 1.70839, 0.0292211, 0.0238372, -0.71238, -0.0225229, -0.0283376
1675.41, 1.69317, 0.02927, 0.0235758, -0.725677, -0.0105867, -0.0300489
1695.61, 1.6867, 0.0282577, 0.0247256, -0.532245, -0.0330304, 0.0215141
1715.8, 1.67396, 0.0261314, 0.0276557, -0.585882, -0.0578678, 0.0721437
1735.94, 1.66315, 0.0277215, 0.0241879, -0.567908, 0.00497597, -0.0346496
1756.06, 1.64451, 0.0260858, 0.0243317, -0.748764, -0.0464292, -0.0187834
1776.19, 1.61963, 0.0208161, 0.0292228, -0.989854, -0.152046, 0.109352
1796.42, 1.60029, 0.0244034, 0.0275872, -0.979585, -0.0230416, 0.0128107
1816.65, 1.58218, 0.0275487, 0.0276548, -0.936204, 0.0587736, -0.00528665
1836.88, 1.57135, 0.0275734, 0.0250264, -0.739467, 0.03193, -0.0620121
1857.01, 1.56345, 0.0283904, 0.0257566, -0.569661, 0.0355131, -0.0219319
1877.14, 1.5539, 0.030151, 0.0269542, -0.524713, 0.0610672, 0.0178744
1897.3, 1.54434, 0.0286393, 0.0268571, -0.517052, 0.00333741, 0.0241711
1917.52, 1.53404, 0.028318, 0.0280972, -0.513498, -0.010629, 0.0412594
1937.77, 1.52426, 0.027878, 0.0267857, -0.502501, -0.0118692, -0.0117449
1957.94, 1.51428, 0.0277767, 0.024775, -0.505777, -0.0143061, -0.0448952
1978.06, 1.50315, 0.026933, 0.0264986, -0.534452, -0.0301197, 0.0249894
1998.22, 1.49422, 0.027254, 0.0244869, -0.492283, -0.00997416, -0.0331059
2018.38, 1.48396, 0.026648, 0.0244088, -0.505676, -0.0161032, -0.0168384
2038.55, 1.47536, 0.0282098, 0.0230119, -0.469045, 0.0297303, -0.0426323
2058.73, 1.464, 0.028466, 0.0210567, -0.513421, 0.0222956, -0.067516
2078.92, 1.45426, 0.0256122, 0.0140813, -0.496799, -0.0443121, -0.178219
2099.15, 1.44438, 0.0255468, 0.0138557, -0.493223, -0.0251986, -0.0962799
2119.38, 1.43373, 0.0253028, 0.0145265, -0.51662, -0.017132, -0.0235421
2139.52, 1.42405, 0.0226907, 0.0161611, -0.504878, -0.0588519, 0.029019
2159.68, 1.41902, 0.0245821, 0.0135654, -0.50446, 0.0114477, -0.0527866
2179.92, 1.40467, 0.0245831, 0.0115924, -0.487277, 0.00590068, -0.0655502
2200.14, 1.39262, 0.0283947, 0.0146319, -0.538999, 0.0826615, 0.028223
2220.37, 1.38778, 0.028357, 0.0157552, -0.523367, 0.0581602, 0.052064
2240.6, 1.37328, 0.0287628, 0.0152204, -0.508155, -0.00757104, -0.0443195
2260.82, 1.36146, 0.0313483, 0.0146965, -0.548328, 0.0590155, -0.0355017
2281.03, 1.35301, 0.0293078, 0.0161431, -0.490147, -0.0117422, 0.00774636
2301.13, 1.34306, 0.0298402, 0.0153477, -0.503548, 0.0262258, 0.0118598
2321.23, 1.33346, 0.0291604, 0.0172177, -0.488612, 0.00043741, 0.0510934
2341.35, 1.32416, 0.0271423, 0.0129057, -0.47632, -0.0390634, -0.0584466
2361.47, 1.30795, 0.0323963, 0.015142, -0.633942, 0.0874736, 0.0447002
2381.54, 1.2931, 0.0333005, 0.0157707, -0.544383, 0.0437622, 0.0271462
2401.65, 1.28802, 0.033087, 0.0156071, -0.533957, 0.0253042, 0.0148129
2421.78, 1.27568, 0.0359983, 0.00656897, -0.477608, 0.0705872, -0.246874
2441.9, 1.27568, 0.0359983, 0.00656897, -0.477608, 0.0705872, -0.246874
2462.01, 1.25777, 0.0392953, 0.0193137, -0.42717, 0.112587, 0.243919
2482.13, 1.25022, 0.0381885, 0.0134629, -0.408424, 0.0333569, 0.00148921
2502.27, 1.24065, 0.0375158, 0.012311, -0.410917, 0.00459844, -0.0141997
2522.4, 1.22754, 0.0263858, 0.00305991, -0.528046, -0.220259, -0.17311
2542.57, 1.21353, 0.0217441, -0.0025434, -0.62787, -0.245836, -0.244762
2562.72, 1.20097, 0.0184781, -0.00304251, -0.626123, -0.202592, -0.138313
2582.91, 1.19119, 0.0191411, -0.0022761, -0.556271, -0.0853571, -0.054626
2603.1, 1.18015, 0.0186011, -0.0031813, -0.547133, -0.0806291, -0.0778763
2623.25, 1.17078, 0.0182744, -0.00266321, -0.523744, -0.120859, -0.0780802
2643.42, 1.16255, 0.0196966, -0.00337439, -0.464683, -0.0252617, -0.0530054
2663.65, 1.15327, 0.0194373, -0.00361286, -0.465233, -0.0190741, -0.0369187
2683.88, 1.14357, 0.0183467, -0.00324415, -0.4724, -0.0381648, -0.0125965
2704.1, 1.13537, 0.0221132, -0.00972251, -0.445239, 0.0587953, -0.145971
2724.4, 1.12546, 0.020293, -0.00977343, -0.474866, -0.0159968, -0.0767496
2744.54, 1.12028, 0.0252568, -0.00954854, -0.387421, 0.0912852, -0.0327988
2764.67, 1.10584, 0.019727, -0.00982439, -0.588866, -0.103706, 0.00772279
2784.87, 1.09629, 0.018034, -0.0101164, -0.536334, -0.0940139, -0.00314175
2805.02, 1.08823, 0.013796, -0.0146618, -0.474397, -0.142497, -0.0980595
2825.15, 1.07895, 0.013256, -0.0155123, -0.467071, -0.0868131, -0.0676263
2845.32, 1.06574, 0.0140204, -0.00759363, -0.578147, -0.0222063, 0.191592
2865.48, 1.05611, 0.0124402, -0.00765795, -0.528829, -0.0513587, 0.0951919
2885.67, 1.05164, 0.00999748, -0.0175783, -0.393357, -0.080399, -0.158843
2905.85, 1.03786, 0.0106412, -0.00813864, -0.522518, -0.0344818, 0.107155
2925.99, 1.02943, 0.00932542, -0.00847239, -0.475068, -0.0517383, 0.0498771
2946.2, 1.02002, 0.00898638, -0.00783339, -0.473624, -0.0292438, 0.0474896
2966.4, 1.01052, 0.00859859, -0.00777021, -0.479551, -0.017458, 0.03442
2986.63, 1.00105, 0.00837934, -0.00787393, -0.475994, -0.0163524, 0.0148302
3006.81, 0.991489, 0.008035, -0.00664075, -0.477725, -0.0157772, 0.035697
3026.95, 0.983354, 0.012845, -0.00360731, -0.572897, 0.125042, 0.111567
3047.14, 0.966994, 0.0119877, -0.00403925, -0.554908, 0.0370283, 0.0390926
3067.35, 0.953127, 0.0122417, -0.00354926, -0.631356, 0.0284206, 0.0347056
3087.49, 0.935836, 0.0131427, -0.00494344, -0.754301, 0.0389312, -0.0220821
3107.72, 0.928656, 0.0140104, -0.00507855, -0.552362, 0.0463951, -0.012222
3127.82, 0.920292, 0.0138112, -0.00412509, -0.496136, 0.0197863, 0.0140992
3147.95, 0.907596, 0.0321779, 0.00722877, -0.546069, 0.382979, 0.239175
3168.11, 0.894115, 0.0323776, 0.00645471, -0.620544, 0.199006, 0.0966535
3188.22, 0.867366, 0.0320499, 0.00622672, -0.981293, 0.10345, 0.036094
3208.39, 0.843969, 0.0268671, 0.00443135, -1.07488, -0.0862711, -0.0424809
